date,latitude,longitude,tavg
2016-12-26,40.55860433924035,-73.9002207961865,3.8
2015-01-08,40.69249759171001,-73.77274243189069,-10.1
2016-12-01,40.512968157256545,-74.15922495876282,11.3
2016-08-28,40.56244413584,-74.08442567045788,25.9
2016-11-05,40.574850892731824,-74.15893060054746,11.0
2016-01-07,40.78062737075515,-74.00906616958859,1.1
2015-12-24,40.776364650365664,-73.79727522966218,16.4
2016-11-02,40.51560222865267,-73.98985130206492,15.2
2015-08-12,40.632026180367774,-74.19380040064871,25.3
2015-10-11,40.61567658124118,-74.0620605546691,14.2
2016-11-01,40.788828235166015,-74.20202864000441,7.8
2015-04-29,40.52438983512455,-73.78102788157692,17.1
2015-08-06,40.88734818113104,-73.73628482045822,21.1
2015-05-12,40.487897709315114,-74.2456527347248,23.7
2015-03-10,40.71129534525734,-74.03054189100638,6.6
2015-02-05,40.5345718892845,-73.81383276464997,0.5
2015-12-11,40.544287698995106,-73.91206561644329,11.0
2016-02-11,40.872451418807984,-73.93680719427748,-4.4
2016-09-20,40.47973259462541,-74.1505539690153,23.8
2016-05-11,40.735388518744294,-74.08023275470993,16.2
2015-03-04,40.60105661724526,-73.88600295111085,2.6
2015-10-01,40.72871986272517,-73.99157158975935,15.4
2015-06-26,40.54670721177298,-74.22570486970622,23.5
2015-03-21,40.488611576326555,-74.06890777244398,1.6
2015-12-13,40.65244639585117,-74.15588336036402,15.2
2015-09-06,40.598506594253124,-73.74990572052005,21.8
2015-11-02,40.5629076330828,-74.23877329342815,14.8
2015-06-15,40.615441348984945,-74.01151198521515,23.0
2016-03-10,40.79405344685495,-74.21049706718495,21.0
2016-09-12,40.52678618095208,-74.10116848105524,20.8
2015-04-05,40.862856819088755,-73.92370640477579,9.2
2015-09-21,40.83701748415582,-73.72492266288594,18.7
2015-03-27,40.676455633301416,-73.82052849221667,7.4
2015-01-17,40.76103539816512,-73.92308053480409,-5.6
2015-04-01,40.480413073241365,-74.17532928527315,4.7
2016-01-21,40.83992356341557,-74.00554912679753,-1.0
2016-01-29,40.68251284199067,-74.21453724409346,2.5
2015-07-10,40.81458039619919,-74.19958718572539,24.1
2016-02-06,40.519400966253734,-74.247367849502,0.8
2016-08-31,40.745841587887604,-74.10854427077302,26.3
2015-04-01,40.82210791714423,-73.89895729677029,4.8
2016-10-05,40.90621454314107,-73.86074730105275,15.7
2015-06-28,40.548692618756775,-74.19327112922637,18.8
2016-01-10,40.745111276969126,-73.94730619945098,11.6
2015-01-15,40.894024721378806,-73.75130528474389,-3.6
2015-04-01,40.86417717386555,-74.11238741576985,4.8
2015-09-06,40.73680325344372,-73.78413965462613,21.8
2015-07-26,40.691697143466406,-74.0700271684795,26.9
2016-08-25,40.74565575039614,-73.73545770780846,24.2
2015-04-14,40.80833893177647,-74.1380867752482,15.5
2016-01-12,40.796458064220666,-73.94134415657335,-0.2
2016-02-10,40.67644149122485,-74.25591499205372,1.5
2016-12-05,40.64941024254467,-74.08062977520916,6.3
2015-07-17,40.60787944845919,-73.70862336036608,22.4
2016-07-27,40.59635528089155,-74.25261195329601,28.7
2015-02-26,40.87095495315737,-74.13201010423724,-4.6
2016-11-17,40.80602728134791,-74.2270646630908,10.7
2016-02-16,40.517331828922416,-73.89276358395598,7.8
2016-01-11,40.64531427507045,-73.99038652170591,2.4
2015-01-04,40.62635336998194,-73.75085483498304,8.5
2016-11-08,40.908449072957424,-73.73345862136745,10.1
2015-10-28,40.657305171028156,-74.24340650413322,14.6
2016-07-01,40.693209748825886,-74.09544023326865,24.1
2015-09-29,40.86605630323431,-74.15255539685111,24.2
2015-04-09,40.52974193932244,-74.0939763778537,4.7
2016-08-13,40.89602518619969,-73.93972759372144,31.0
2016-02-10,40.634812233630704,-74.06285346474206,1.5
2016-01-03,40.849827862025506,-74.11527624794417,2.6
2016-11-07,40.809717149545385,-74.17092051799771,7.6
2015-12-09,40.912894547975775,-74.04105153547202,6.9
2015-05-14,40.82622230258841,-73.72005957163788,15.4
2015-11-02,40.709522125114766,-73.70618416283527,14.9
2015-07-22,40.57173956166735,-74.01719013768115,25.6
2016-02-29,40.76376564361196,-74.16105842607601,9.2
2015-01-28,40.73552105813675,-74.2540055216324,-5.2
2016-05-01,40.52691721307836,-74.08300399618787,9.4
2015-04-29,40.73735097166936,-74.14518591170247,18.9
2015-12-31,40.628007175106426,-74.04548625524446,8.4
2015-02-10,40.77346993717824,-73.92444663886664,-1.6
2016-04-19,40.904795076644426,-73.79306454668274,17.4
2016-03-20,40.62177133416978,-73.923330227075,3.7
2016-11-30,40.48965580423198,-74.11012044011308,13.2
2015-12-13,40.89665482933576,-73.72859806762627,12.7
2016-04-06,40.77083300908477,-73.76398594832791,2.9
2016-07-07,40.73129426581212,-73.95475815868768,29.2
2015-07-04,40.87150842663778,-74.23181694539069,21.0
2016-08-11,40.82458711791444,-74.13254747754327,30.3
2015-08-13,40.71148272116036,-73.71751788975538,25.1
2016-01-03,40.56116432366021,-73.76003504464182,4.6
2015-01-21,40.76217149027844,-74.09265907819744,-1.4
2016-04-06,40.820731795963034,-74.16613135584382,3.4
2016-05-03,40.91249702817923,-74.17699183220194,11.8
2015-11-24,40.555664512372076,-73.83356903704968,3.9
2016-10-18,40.675175677996066,-73.7394286413843,19.7
2016-03-31,40.7546215922147,-74.14298414667292,14.7
2015-05-01,40.481877398538,-73.76219617648482,10.8
2015-04-30,40.712096574418425,-74.0302674001201,13.1
2016-06-09,40.63028807166687,-73.73910310694353,17.6
2016-08-10,40.682342789020275,-74.25571558061814,27.6
2015-08-27,40.486821516415816,-73.92515737174828,24.2
2016-01-18,40.856222864164195,-73.97482394917205,-3.8
2016-02-21,40.67685877403618,-74.1362503446884,10.5
2016-02-03,40.72046740895226,-73.75563110171137,8.1
2016-04-24,40.81108990659818,-74.23304140240832,12.9
2016-02-23,40.8352451332102,-73.7845372355239,4.1
2015-10-13,40.765231347635705,-73.82066855789876,18.9
2016-12-29,40.70732996268068,-73.87807774080359,3.1
2016-10-20,40.83012554943929,-74.02338060186057,18.5
2015-09-14,40.70938732266408,-73.78788126527954,19.8
2016-12-06,40.762119505496955,-74.10044688094176,6.8
2015-08-15,40.60368442566614,-73.85978337290449,25.8
2015-07-16,40.737699574015174,-73.92991651062735,22.8
2015-07-06,40.63209998178559,-73.72502226973239,24.0
2016-04-11,40.54311675851297,-74.0814136053577,10.8
2015-11-12,40.580549367055205,-73.93320539126422,13.3
2016-09-20,40.74090263023554,-74.18181646793838,24.4
2016-10-24,40.70319188668476,-73.7046922296876,14.8
2015-10-23,40.49540276448529,-74.1089927887346,15.7
2015-05-06,40.5550692182207,-74.1247762423374,20.6
2016-12-14,40.68587334688445,-73.9931132906983,3.9
2015-10-06,40.489064859742875,-73.79762737470101,16.3
2016-10-13,40.709241603478375,-73.90928845805526,15.3
2015-08-12,40.68322236731638,-73.8950828451249,25.3
2015-02-02,40.86394689352539,-74.10013428966407,-3.3
2016-03-08,40.831722571683564,-74.18701255760064,10.8
2016-08-08,40.54690575367841,-74.18911238413618,26.7
2016-05-07,40.492849981005975,-74.02623181803041,11.3
2016-04-16,40.85920617627513,-74.2504011854012,11.6
2016-11-24,40.8431396834459,-73.7357977501163,6.7
2015-12-03,40.555314279389215,-74.19462627433465,10.4
2016-02-11,40.586054575003566,-74.05455591946105,-2.8
2016-11-25,40.5600758833206,-73.98743281540156,9.1
2016-09-25,40.55171130670801,-73.77113123721638,16.6
2015-07-30,40.516020026164774,-74.21361849292187,27.9
2015-08-22,40.600829282535116,-73.70475571829851,25.3
2016-11-08,40.72744804662217,-73.85035439287473,11.1
2016-04-14,40.90779521188452,-74.00901872612286,10.0
2016-06-21,40.79970555797205,-74.20274296970345,25.7
2016-02-01,40.82049146176737,-74.09728330424048,7.7
2016-05-23,40.66393338652032,-73.95745936980067,18.1
2016-10-22,40.561883645674364,-73.81991030779747,12.7
2015-04-23,40.72161776782706,-74.20447836099969,8.3
2015-01-03,40.89658528360206,-73.84605399871745,0.7
2015-12-16,40.65892423158579,-74.09739268301992,10.3
2016-06-15,40.759158827616616,-74.24832127377753,21.9
2015-04-29,40.80471592440455,-73.73136956073725,17.1
2016-05-03,40.85727312201501,-73.73044970553747,11.8
2016-02-25,40.62855313638871,-74.01211591949638,12.4
2016-06-15,40.68071827086923,-73.79444390573124,22.9
2015-09-01,40.63466814395433,-74.1717026150335,27.9
2015-07-08,40.771412145873974,-74.12827920116217,26.3
2015-11-15,40.75096411990045,-73.72395613411202,8.7
2016-05-15,40.630980896627044,-74.11223895323914,12.5
2016-04-25,40.63194948276367,-74.02189870829815,14.7
2015-08-18,40.6710082238087,-74.0913905448006,28.8
2016-02-26,40.884015885078725,-73.80184295432845,0.9
2015-05-11,40.76140490555112,-74.09288863552094,24.0
2015-12-19,40.75964111286806,-73.97545719314125,3.3
2015-12-05,40.73064382639354,-73.90947338229567,6.9
2015-09-25,40.80849516753308,-74.23010249444152,18.0
2016-02-13,40.5668857936984,-73.81620423510678,-5.5
2015-11-15,40.64291729333649,-74.23812188628622,7.9
2016-06-22,40.8039531309099,-73.72527228714999,26.7
2015-04-06,40.91024473450358,-74.23842049389354,9.9
2015-04-24,40.82221313091103,-73.845883174489,5.7
2016-02-19,40.89126437717955,-73.8163391040958,-0.9
2015-06-18,40.858148004472376,-73.79084925075011,19.9
2015-09-22,40.54642657215779,-73.92595445783917,19.4
2015-12-04,40.65509205634298,-74.14807949879327,8.1
2016-01-06,40.90282029168845,-73.80841543801476,-1.9
2015-05-04,40.736219200168655,-73.75846193302003,15.9
2016-12-30,40.79099330608291,-73.70112994867563,4.1
2016-09-12,40.67939867692081,-74.0242948021806,20.8
2016-03-16,40.87147004832669,-74.24090318498233,11.4
2016-12-01,40.61286338037477,-74.25769976328839,11.3
2015-09-21,40.62338647357925,-74.0127631874836,18.3
2016-11-13,40.51118348778925,-74.10604126323736,7.9
2016-03-06,40.623539654305,-74.03374858369746,2.5
2015-06-05,40.623812024668425,-73.8723073879043,15.6
2015-07-03,40.48305904963924,-74.25231023491796,23.1
2015-06-16,40.74759575847147,-73.77300793899228,20.3
2016-02-26,40.84975749434223,-73.84479402107922,0.9
2015-11-03,40.805831827663305,-73.98811070748908,14.4
2015-06-14,40.58640180293522,-74.18263652866356,25.5
2016-05-30,40.678324872669606,-73.87486730711065,20.2
2015-08-03,40.56742926381765,-73.79407603697216,26.2
2015-11-04,40.84193848244762,-73.7850484499386,14.9
2015-09-17,40.52393891954901,-73.91830652065214,23.4
2016-10-10,40.72274635874075,-74.09898488447692,13.1
2015-07-06,40.77607132974696,-73.81364214525223,24.0
2016-05-31,40.64387245126605,-73.94359488538818,24.8
